|            JD |           Tempo |              BC |            432s |             430 |             423 |             405 |
| 2451719.09611 |   25427.0162889 |   25427.0157509 |   25427.0157019 |   25427.0157045 |    25427.015696 |   25427.0157623 |
| 2451720.01676 |   25714.1296725 |   25714.1295481 |   25714.1294927 |   25714.1294953 |   25714.1294864 |   25714.1295534 |
|  2451720.9374 |   25998.6672212 |   25998.6669872 |   25998.6669319 |   25998.6669345 |   25998.6669253 |   25998.6669931 |
| 2451721.85804 |   26239.0846257 |   26239.0846573 |   26239.0846082 |   26239.0846106 |   26239.0846012 |   26239.0846697 |
| 2451722.77868 |   26402.5256518 |   26402.5251895 |   26402.5251529 |   26402.5251551 |   26402.5251455 |   26402.5252148 |
| 2451723.69932 |   26472.2991177 |   26472.2989357 |   26472.2989148 |    26472.298917 |    26472.298907 |    26472.298977 |
| 2451724.61996 |   26451.6695862 |   26451.6694806 |    26451.669472 |   26451.6694742 |    26451.669464 |   26451.6695346 |
|  2451725.5406 |   26363.0815354 |   26363.0809817 |   26363.0809694 |   26363.0809714 |   26363.0809609 |   26363.0810322 |
| 2451726.46124 |   26243.0072871 |   26243.0071366 |     26243.00711 |    26243.007112 |   26243.0071012 |    26243.007173 |
| 2451727.38188 |   26133.6006288 |   26133.6005233 |   26133.6005006 |   26133.6005026 |   26133.6004915 |   26133.6005638 |
| 2451728.30252 |   26073.0500351 |   26073.0495459 |   26073.0495228 |   26073.0495247 |   26073.0495133 |   26073.0495861 |
| 2451729.22316 |   26086.8443345 |   26086.8439061 |   26086.8438751 |   26086.8438768 |   26086.8438652 |   26086.8439383 |
|  2451730.1438 |   26181.9442941 |   26181.9433381 |   26181.9432974 |   26181.9432991 |   26181.9432873 |   26181.9433606 |
| 2451731.06444 |   26345.1843274 |   26345.1839366 |   26345.1838884 |   26345.1838899 |    26345.183878 |   26345.1839513 |
| 2451731.98509 |   26546.2898749 |   26546.2898524 |   26546.2898002 |   26546.2898018 |   26546.2897895 |    26546.289863 |
